N,ln_N,G_N,HL_N,delta
15404,9.642382,134,145.9855,-0.082101
15504,9.648853,309,445.0416,-0.305683
15604,9.655283,148,147.486,0.003485
15704,9.661671,151,162.8418,-0.072719
15804,9.668018,289,397.2883,-0.272569
15904,9.674326,171,184.8101,-0.074726
16004,9.680594,143,150.4768,-0.049687
16104,9.686823,331,452.5921,-0.268657
16204,9.693013,150,151.9671,-0.012944
16304,9.699166,148,152.711,-0.030849
16404,9.70528,303,409.211,-0.259551
16504,9.711358,144,154.1964,-0.066126
16604,9.717399,163,191.2376,-0.147657
16704,9.723403,300,415.1428,-0.277357
16804,9.729372,148,156.4185,-0.05382
16904,9.735306,136,157.1576,-0.134626
17004,9.741204,319,462.5456,-0.310338
17104,9.747068,155,158.6334,-0.022904
17204,9.752897,189,191.5393,-0.013257
17304,9.758693,360,526.9781,-0.31686
17404,9.764455,166,170.83,-0.028274
17504,9.770185,154,161.5759,-0.046888
17604,9.775881,312,432.8258,-0.279156
17704,9.781546,151,163.0427,-0.073862
17804,9.787178,148,163.775,-0.096321
17904,9.792779,317,438.684,-0.277384
18004,9.798349,186,203.9501,-0.088012
18104,9.803888,168,165.9674,0.012247
18204,9.809397,339,444.5247,-0.237388
18304,9.814875,186,206.4233,-0.098939
18404,9.820323,162,168.1534,-0.036594
18504,9.825742,324,450.3483,-0.280557
18604,9.831132,159,169.6072,-0.06254
18704,9.836493,205,210.2396,-0.024922
18804,9.841825,329,456.1552,-0.278754
18904,9.847129,186,183.9534,0.011125
19004,9.852405,163,172.5065,-0.055108
19104,9.857653,320,461.9457,-0.307278
19204,9.862874,168,173.9521,-0.034217
19304,9.868068,165,185.5214,-0.110615
19404,9.873235,437,647.924,-0.325538
19504,9.878375,178,176.1155,0.0107
19604,9.883489,181,194.2603,-0.068261
19704,9.888577,332,473.4787,-0.298807
19804,9.893639,167,178.2731,-0.063235
19904,9.898676,161,178.991,-0.100513
20004,9.903688,337,479.2219,-0.296777
20104,9.908674,203,222.6958,-0.088443
20204,9.913636,173,181.1408,-0.044942
20304,9.918573,342,484.9499,-0.294773
20404,9.923486,174,182.571,-0.046946
20504,9.928375,184,205.7072,-0.105525
20604,9.933241,374,525.4263,-0.288197
20704,9.938082,166,184.7115,-0.101301
20804,9.942901,195,228.866,-0.147973
20904,9.947696,390,545.2719,-0.28476
21004,9.952468,191,186.8467,0.022229
21104,9.957218,173,187.5572,-0.077615
21204,9.961945,385,533.2235,-0.277976
21304,9.96665,179,188.9764,-0.052792
21404,9.971333,175,189.6852,-0.077419
21504,9.975994,430,626.6662,-0.313829
21604,9.980634,209,214.4792,-0.025547
21704,9.985252,178,191.808,-0.071989
21804,9.989849,369,513.3718,-0.281223
21904,9.994425,184,193.2203,-0.047719
22004,9.99898,181,193.9256,-0.066653
22104,10.003514,363,519.0144,-0.300597
22204,10.008028,252,264.856,-0.04854
22304,10.012521,207,209.9275,-0.013945
22404,10.016995,373,524.6436,-0.289041
22504,10.021448,199,197.4439,0.007881
22604,10.025882,187,198.1459,-0.056251
22704,10.030296,417,595.1286,-0.299311
22804,10.034691,186,199.5483,-0.067895
22904,10.039067,209,247.164,-0.154408
23004,10.043423,387,535.8627,-0.2778
23104,10.047761,205,214.1705,-0.042819
23204,10.05208,176,202.3466,-0.130205
23304,10.05638,383,541.453,-0.292644
23404,10.060662,200,203.7426,-0.018369
23504,10.064926,207,224.5849,-0.0783
23604,10.069171,462,675.1924,-0.315751
23704,10.073399,197,205.8328,-0.042912
23804,10.077609,210,231.794,-0.094023
23904,10.081801,393,552.5963,-0.288812
24004,10.085976,211,222.6492,-0.052321
24104,10.090133,205,208.6125,-0.017317
24204,10.094273,404,558.1497,-0.27618
24304,10.098396,243,259.1992,-0.062497
24404,10.102502,196,210.692,-0.069732
24504,10.106592,408,563.6912,-0.276199
24604,10.110664,196,212.0759,-0.075803
24704,10.11472,202,212.7671,-0.050605
24804,10.11876,439,625.3106,-0.297949
24904,10.122784,219,240.3457,-0.088813
25004,10.126791,258,281.6388,-0.083933
25104,10.130782,381,574.7389,-0.33709
25204,10.134758,204,216.2159,-0.056499
25304,10.138718,207,216.9042,-0.045662
25404,10.142662,433,580.2456,-0.253764
25504,10.146591,210,218.2795,-0.037931
25604,10.150504,207,218.9664,-0.05465
25704,10.154402,513,774.1942,-0.337376
25804,10.158285,208,220.3389,-0.056
25904,10.162153,199,221.0245,-0.099647
26004,10.166006,462,663.5527,-0.303748
26104,10.169844,231,244.3084,-0.054474
26204,10.173667,208,223.0784,-0.067592
26304,10.177476,412,596.699,-0.309535
26404,10.181271,263,277.0297,-0.050643
26504,10.185051,209,225.1282,-0.07164
26604,10.188817,424,602.1617,-0.29587
26704,10.192569,221,226.4926,-0.024251
26804,10.196306,220,227.1741,-0.03158
26904,10.20003,466,645.3476,-0.277909
27004,10.20374,213,228.5358,-0.06798
27104,10.207437,280,317.5287,-0.11819
27204,10.211119,434,613.0554,-0.292071
27304,10.214788,225,230.5751,-0.024179
27404,10.218444,249,272.0401,-0.084694
27504,10.222087,434,618.4868,-0.298287
27604,10.225716,220,232.6106,-0.054213
27704,10.229332,213,233.2883,-0.086966
27804,10.232935,531,770.0807,-0.310462
27904,10.236525,219,234.6423,-0.066664
28004,10.240103,231,235.3187,-0.018352
28104,10.243667,434,629.3191,-0.310366
28204,10.247219,251,265.6231,-0.055052
28304,10.250758,235,237.3454,-0.009882
28404,10.254285,441,634.7203,-0.305206
28504,10.2578,266,294.6172,-0.097133
28604,10.261302,217,239.3684,-0.093448
28704,10.264792,523,703.187,-0.256243
28804,10.26827,240,255.6638,-0.061267
28904,10.271735,227,241.3878,-0.059604
29004,10.275189,451,645.4936,-0.30131
29104,10.278631,244,259.9295,-0.061284
29204,10.282061,273,300.4295,-0.091301
29304,10.285479,515,730.4892,-0.294993
29404,10.288886,251,244.7455,0.025555
29504,10.292281,227,245.4158,-0.075039
29604,10.295665,459,656.2288,-0.300549
29704,10.299037,231,246.7554,-0.06385
29804,10.302398,225,247.4246,-0.090632
29904,10.305748,554,816.5817,-0.321562
30004,10.309086,258,273.2743,-0.055894
30104,10.312413,243,249.4299,-0.025778
30204,10.31573,462,666.9269,-0.30727
30304,10.319035,233,250.7649,-0.070843
30404,10.322329,256,282.1906,-0.092812
30504,10.325613,493,672.2623,-0.266655
30604,10.328886,284,311.9837,-0.089696
30704,10.332148,242,269.1688,-0.100936
30804,10.3354,496,725.5958,-0.316424
30904,10.338641,234,254.7609,-0.081492
31004,10.341872,245,255.4256,-0.040817
31104,10.345092,474,682.9065,-0.305908
31204,10.348302,245,256.7539,-0.045779
31304,10.351501,326,349.0349,-0.065996
31404,10.354691,487,688.2154,-0.292373
31504,10.35787,266,290.3969,-0.084012
31604,10.361039,232,259.4062,-0.10565
31704,10.364198,490,693.5157,-0.293455
31804,10.367347,234,260.7302,-0.102521
31904,10.370487,251,261.3917,-0.039755
32004,10.373616,599,862.5282,-0.30553
32104,10.376736,240,262.7136,-0.086458
32204,10.379846,254,263.374,-0.035592
32304,10.382946,488,704.0909,-0.306908
32404,10.386037,257,264.6938,-0.029067
32504,10.389118,262,284.1534,-0.077963
32604,10.39219,619,928.9103,-0.333628
32704,10.395253,312,329.1482,-0.052099
32804,10.398306,250,267.3293,-0.064824
32904,10.40135,491,714.6329,-0.312934
33004,10.404384,262,268.645,-0.024735
33104,10.407409,243,269.3023,-0.097668
33204,10.410426,503,719.8916,-0.301284
33304,10.413433,260,270.616,-0.039229
33404,10.416431,301,334.8276,-0.10103
33504,10.41942,508,725.1423,-0.299448
33604,10.4224,266,272.584,-0.024154
33704,10.425372,277,306.666,-0.096737
33804,10.428334,513,730.385,-0.297631
33904,10.431288,297,301.6025,-0.01526
34004,10.434233,249,275.2034,-0.095215
34104,10.43717,629,907.9652,-0.307242
34204,10.440098,268,296.1019,-0.094906
34304,10.443017,255,277.1646,-0.079969
34404,10.445928,545,740.847,-0.264356
34504,10.448831,297,295.7639,0.00418
34604,10.451725,272,279.1228,-0.025519
34704,10.45461,515,746.0665,-0.309713
34804,10.457488,372,388.4699,-0.042397
34904,10.460357,264,281.0782,-0.06076
35004,10.463218,529,751.2783,-0.295867
35104,10.46607,267,282.3802,-0.054466
35204,10.468915,281,310.92,-0.09623
35304,10.471752,538,756.4826,-0.288814
35404,10.47458,263,284.3309,-0.075021
35504,10.477401,319,351.7473,-0.093099
35604,10.480213,575,761.6794,-0.245089
35704,10.483018,257,286.2788,-0.102274
35804,10.485815,273,286.9275,-0.04854
35904,10.488604,622,921.6626,-0.325133
36004,10.491385,274,288.2239,-0.04935
36104,10.494159,264,288.8717,-0.086099
36204,10.496925,644,952.9317,-0.324191
36304,10.499683,270,290.1663,-0.069499
36404,10.502434,280,308.8732,-0.093479
36504,10.505177,583,853.8123,-0.31718
36604,10.507913,279,292.1061,-0.044867
36704,10.510641,292,292.752,-0.002569
36804,10.513362,564,782.3939,-0.279136
36904,10.516075,314,362.9332,-0.134827
37004,10.518781,313,330.7387,-0.053634
37104,10.52148,558,787.5547,-0.291478
37204,10.524172,287,295.9775,-0.030332
37304,10.526856,266,296.6218,-0.103235
37404,10.529533,562,792.7085,-0.291038
37504,10.532203,287,297.9093,-0.03662
37604,10.534866,362,394.6074,-0.082632
37704,10.537521,565,797.8553,-0.291852
37804,10.54017,316,329.384,-0.040633
37904,10.542812,294,300.481,-0.021569
38004,10.545447,560,802.9953,-0.302611
38104,10.548075,303,338.6815,-0.105354
38204,10.550696,293,302.4068,-0.031107
38304,10.55331,706,1059.4055,-0.333589
38404,10.555917,282,303.6893,-0.071419
38504,10.558517,288,304.3301,-0.053659
38604,10.561111,555,813.255,-0.317557
38704,10.563698,306,305.6109,0.001273
38804,10.566279,288,306.2509,-0.059594
38904,10.568852,575,818.3748,-0.297388
39004,10.571419,342,379.5799,-0.099004
39104,10.57398,318,338.5355,-0.06066
39204,10.576534,642,924.229,-0.305367
39304,10.579082,313,331.3708,-0.055439
39404,10.581623,282,310.085,-0.090572
39504,10.584157,567,828.5948,-0.315709
39604,10.586685,295,311.3608,-0.052546
39704,10.589207,350,385.0951,-0.091134
39804,10.591723,605,833.695,-0.274315
39904,10.594232,302,313.2726,-0.035983
40004,10.596735,305,313.9093,-0.028382
40104,10.599231,599,838.7888,-0.285875
40204,10.601722,312,334.7553,-0.067976
40304,10.604206,316,354.4533,-0.108486
40404,10.606684,764,1144.2199,-0.332296
40504,10.609156,304,317.089,-0.041279
40604,10.611622,300,317.7242,-0.055785
40704,10.614082,610,848.9574,-0.281472
40804,10.616535,309,318.9937,-0.031329
40904,10.618983,293,319.628,-0.083309
41004,10.621425,644,914.5403,-0.295821
41104,10.623861,361,396.0773,-0.088562
41204,10.626291,299,321.5296,-0.07007
41304,10.628715,589,859.1011,-0.3144
41404,10.631133,337,362.2851,-0.069793
41504,10.633545,301,323.4288,-0.069347
41604,10.635952,593,864.1638,-0.313787
41704,10.638352,325,356.6884,-0.08884
41804,10.640747,351,401.545,-0.125876
41904,10.643137,599,869.2204,-0.310877
42004,10.64552,306,326.5892,-0.063043
42104,10.647898,325,347.5415,-0.06486
42204,10.65027,589,874.2709,-0.326296
42304,10.652637,306,328.4824,-0.068443
42404,10.654998,302,329.113,-0.082382
42504,10.657353,864,1218.0994,-0.290698
42604,10.659703,312,330.3734,-0.055614
42704,10.662048,330,354.4547,-0.068992
42804,10.664387,657,884.3542,-0.257085
42904,10.66672,316,332.2622,-0.048944
43004,10.669048,327,365.6937,-0.105809
43104,10.671371,618,889.3871,-0.305139
43204,10.673688,373,412.4351,-0.095615
43304,10.676,294,334.7771,-0.121804
43404,10.678307,612,894.4141,-0.315753
43504,10.680608,301,336.0332,-0.104255
43604,10.682904,346,377.8461,-0.084283
43704,10.685195,634,899.4354,-0.295113
43804,10.68748,328,337.9155,-0.029343
43904,10.689761,373,417.858,-0.107352
44004,10.692036,668,960.6188,-0.304615
44104,10.694306,327,339.7956,-0.037657
44204,10.696571,308,340.4218,-0.09524
44304,10.69883,708,999.0772,-0.291346
44404,10.701085,332,365.8811,-0.092601
44504,10.703334,321,342.2991,-0.062224
44604,10.705579,765,1128.7113,-0.322236
44704,10.707818,365,385.5775,-0.053368
44804,10.710053,349,344.1744,0.014021
44904,10.712282,640,919.4639,-0.303942
45004,10.714507,323,345.4234,-0.064916
45104,10.716726,322,346.0475,-0.069492
45204,10.718941,643,924.4572,-0.304457
45304,10.721151,397,428.6614,-0.073861
45404,10.723355,324,347.9186,-0.068748
45504,10.725556,626,929.4449,-0.32648
45604,10.727751,352,383.5708,-0.082308
45704,10.729941,325,349.7877,-0.070865
45804,10.732127,714,1048.7399,-0.319183
45904,10.734308,331,372.8323,-0.112201
46004,10.736484,402,434.0424,-0.073823
46104,10.738655,713,1005.9607,-0.291225
46204,10.740822,324,352.8983,-0.081888
46304,10.742984,329,353.5197,-0.069359
46404,10.745141,657,944.3758,-0.304302
46504,10.747294,315,354.7619,-0.112081
46604,10.749442,330,355.3827,-0.071424
46704,10.751585,789,1171.7595,-0.326654
46804,10.753724,326,356.6237,-0.085871
46904,10.755858,417,440.4555,-0.053253
47004,10.757988,641,954.3032,-0.328306
47104,10.760113,351,358.4834,-0.020875
47204,10.762234,311,359.1029,-0.133953
47304,10.76435,683,959.2591,-0.287992
47404,10.766462,409,444.764,-0.080411
47504,10.768569,328,360.96,-0.091312
47604,10.770672,675,964.2098,-0.299945
47704,10.772771,354,362.1971,-0.022632
47804,10.774865,394,412.6484,-0.045192
47904,10.776954,672,969.1553,-0.306613
48004,10.77904,364,408.587,-0.109125
48104,10.781121,396,450.1052,-0.120206
48204,10.783197,735,1070.081,-0.313136
48304,10.78527,341,365.903,-0.068059
48404,10.787338,334,366.52,-0.088726
48504,10.789402,714,979.0312,-0.270708
48604,10.791461,361,367.7532,-0.018363
48704,10.793516,352,368.3695,-0.044438
48804,10.795568,835,1214.4897,-0.312468
48904,10.797614,334,369.6015,-0.096324
49004,10.799657,334,370.2172,-0.097827
49104,10.801696,775,1109.862,-0.301715
49204,10.80373,341,371.4479,-0.081971
49304,10.80576,346,372.063,-0.07005
49404,10.807787,730,993.8075,-0.265451
49504,10.809809,471,542.0114,-0.131015
49604,10.811827,350,373.9069,-0.063938
49704,10.813841,725,1060.7454,-0.316518
49804,10.815851,347,375.1352,-0.075
