N,ln_N,G_N,HL_N,delta
66604,11.10652,440,475.7615,-0.075167
66704,11.10802,482,534.6207,-0.098426
66804,11.109518,929,1350.8022,-0.312261
66904,11.111014,437,477.5179,-0.084851
67004,11.112508,528,590.1158,-0.10526
67104,11.113999,879,1276.5017,-0.311399
67204,11.115488,460,479.273,-0.040213
67304,11.116975,464,479.8578,-0.033047
67404,11.11846,923,1281.1799,-0.27957
67504,11.119942,434,481.0269,-0.097764
67604,11.121422,446,481.6113,-0.073942
67704,11.122901,1166,1743.5027,-0.331231
67804,11.124376,517,541.8402,-0.045844
67904,11.12585,440,483.3635,-0.089712
68004,11.127322,880,1290.5262,-0.318108
68104,11.128791,439,484.531,-0.093969
68204,11.130258,480,519.4847,-0.076008
68304,11.131724,893,1295.1945,-0.310528
68404,11.133187,538,600.2099,-0.103647
68504,11.134647,441,486.8643,-0.094203
68604,11.136106,876,1299.8595,-0.326081
68704,11.137563,477,518.3376,-0.07975
68804,11.139017,445,488.6129,-0.089259
68904,11.14047,1015,1464.109,-0.306746
69004,11.14192,490,538.0395,-0.089286
69104,11.143368,534,605.2446,-0.117712
69204,11.144814,916,1309.1796,-0.300325
69304,11.146258,440,491.5244,-0.104826
69404,11.1477,449,492.1063,-0.087595
69504,11.14914,918,1313.8348,-0.301282
69604,11.150577,448,493.2697,-0.091775
69704,11.152013,438,493.8512,-0.113093
69804,11.153447,1073,1627.3895,-0.340662
69904,11.154878,486,530.0854,-0.083167
70004,11.156308,538,556.2232,-0.032762
70104,11.157735,946,1323.1357,-0.285032
70204,11.159161,459,496.7567,-0.076006
70304,11.160584,491,546.344,-0.101299
70404,11.162005,917,1327.7813,-0.309374
70504,11.163425,553,615.2895,-0.101236
70604,11.164842,471,530.0724,-0.111442
70704,11.166257,898,1332.4238,-0.32604
70804,11.167671,481,500.239,-0.03846
70904,11.169082,456,500.8189,-0.089491
71004,11.170491,945,1337.0632,-0.293227
71104,11.171899,506,563.3876,-0.101862
71204,11.173304,539,620.3,-0.131066
71304,11.174708,919,1341.6994,-0.315048
71404,11.176109,459,503.7165,-0.088773
71504,11.177509,471,504.2957,-0.066024
71604,11.178906,1061,1583.7837,-0.330085
71704,11.180302,464,505.4536,-0.082013
71804,11.181695,481,506.0323,-0.049468
71904,11.183087,1133,1667.4738,-0.320529
72004,11.184477,471,507.1895,-0.071353
72104,11.185865,437,507.7678,-0.13937
72204,11.187251,1043,1521.4248,-0.314458
72304,11.188635,475,508.9242,-0.066659
72404,11.190017,488,509.5022,-0.042202
72504,11.191397,1027,1444.6848,-0.289118
72604,11.192775,547,630.2976,-0.132156
72704,11.194152,477,511.2354,-0.066966
72804,11.195526,918,1364.8342,-0.327391
72904,11.196899,522,562.88,-0.072626
73004,11.19827,455,512.9674,-0.113004
73104,11.199638,915,1369.452,-0.33185
73204,11.201005,481,514.1215,-0.064423
73304,11.20237,676,763.518,-0.114625
73404,11.203734,931,1374.0668,-0.322449
73504,11.205095,488,515.8517,-0.053992
73604,11.206455,460,516.4281,-0.109266
73704,11.207812,988,1378.6786,-0.283372
73804,11.209168,490,517.5807,-0.053288
73904,11.210522,479,518.1568,-0.075569
74004,11.211874,1115,1707.3719,-0.34695
74104,11.213225,487,519.3086,-0.062215
74204,11.214573,525,571.1126,-0.080742
74304,11.21592,959,1387.8932,-0.309025
74404,11.217265,566,621.0916,-0.088701
74504,11.218608,494,521.6108,-0.052934
74604,11.219949,961,1392.4961,-0.309872
74704,11.221289,619,645.2366,-0.040662
74804,11.222627,483,523.3362,-0.077075
74904,11.223963,959,1397.0961,-0.313576
75004,11.225297,516,561.6454,-0.081271
75104,11.226629,486,525.0604,-0.074392
75204,11.22796,949,1401.6931,-0.322962
75304,11.229289,466,526.2093,-0.114421
75404,11.230616,567,650.2014,-0.127963
75504,11.231941,1151,1733.8492,-0.336159
75604,11.233264,483,527.9317,-0.085109
75704,11.234586,465,528.5056,-0.120161
75804,11.235906,964,1410.8784,-0.316738
75904,11.237225,474,529.6531,-0.105075
76004,11.238541,475,530.2266,-0.104157
76104,11.239856,1169,1747.0903,-0.330887
76204,11.241169,490,531.3733,-0.077861
76304,11.242481,503,564.9812,-0.109705
76404,11.24379,952,1420.0522,-0.329602
76504,11.245098,512,533.0925,-0.039566
76604,11.246405,541,598.951,-0.096754
76704,11.247709,1061,1525.5697,-0.304522
76804,11.249012,636,725.1548,-0.122946
76904,11.250313,507,535.3831,-0.053015
77004,11.251613,1060,1429.2145,-0.258334
77104,11.25291,519,536.5277,-0.032669
77204,11.254207,484,537.0998,-0.098864
77304,11.255501,966,1433.7914,-0.326262
77404,11.256794,497,538.2437,-0.076626
77504,11.258085,589,665.0522,-0.114355
77604,11.259374,1032,1438.3656,-0.282519
77704,11.260662,568,606.0142,-0.062728
77804,11.261948,497,540.53,-0.080532
77904,11.263233,980,1442.9369,-0.32083
78004,11.264515,501,541.6725,-0.075087
78104,11.265797,537,595.6751,-0.098502
78204,11.267076,1262,1897.5882,-0.334945
78304,11.268354,504,543.3854,-0.072481
78404,11.26963,520,582.4952,-0.107289
78504,11.270905,996,1452.0712,-0.314083
78604,11.272178,514,545.0972,-0.057049
78704,11.273449,491,545.6675,-0.100185
78804,11.274719,1112,1634.8307,-0.319807
78904,11.275987,609,674.9172,-0.097667
79004,11.277254,482,547.378,-0.119438
79104,11.278519,1009,1461.1944,-0.309469
79204,11.279782,496,548.5177,-0.095745
79304,11.281044,520,549.0874,-0.052974
79404,11.282304,1074,1610.1839,-0.332995
79504,11.283563,512,550.2264,-0.069474
79604,11.28482,602,679.8393,-0.114497
79704,11.286075,1038,1470.3067,-0.294025
79804,11.287329,517,551.9341,-0.063294
79904,11.288581,531,620.0933,-0.143677
80004,11.289832,1051,1474.8587,-0.287389
80104,11.291081,601,629.684,-0.045553
80204,11.292329,500,554.2095,-0.097814
80304,11.293575,1213,1826.0123,-0.335711
80404,11.294819,522,555.3465,-0.060046
80504,11.296062,524,555.9148,-0.05741
80604,11.297304,1002,1483.9548,-0.324777
80704,11.298543,574,611.9418,-0.062002
80804,11.299782,515,557.6192,-0.076431
80904,11.301019,1017,1488.4988,-0.316761
81004,11.302254,677,774.0327,-0.12536
81104,11.303488,542,559.3225,-0.030971
81204,11.30472,1063,1493.0402,-0.28803
81304,11.30595,520,560.4575,-0.072187
81404,11.30718,550,561.0249,-0.019651
81504,11.308407,1028,1497.5789,-0.313559
81604,11.309634,549,562.1592,-0.023408
81704,11.310858,611,694.5649,-0.120313
81804,11.312081,1105,1608.5393,-0.313041
81904,11.313303,530,563.8599,-0.06005
82004,11.314523,608,658.5497,-0.076759
82104,11.315742,1156,1690.9634,-0.316366
82204,11.316959,516,565.5596,-0.087629
82304,11.318175,522,566.126,-0.077944
82404,11.319389,1238,1865.227,-0.336274
82504,11.320602,510,567.2584,-0.100939
82604,11.321813,529,567.8244,-0.068374
82704,11.323023,1020,1515.7075,-0.327047
82804,11.324232,539,568.9561,-0.052651
82904,11.325439,512,569.5218,-0.101
83004,11.326644,1024,1520.2331,-0.326419
83104,11.327848,644,704.3487,-0.08568
83204,11.329051,616,641.098,-0.039148
83304,11.330252,1171,1675.0024,-0.300897
83404,11.331452,541,572.3487,-0.054772
83504,11.33265,547,613.5046,-0.108401
83604,11.333847,1013,1529.2767,-0.337595
83704,11.335042,531,574.0436,-0.074983
83804,11.336236,651,709.2309,-0.082104
83904,11.337429,1152,1629.0458,-0.292838
84004,11.33862,519,575.7375,-0.098548
84104,11.339809,528,576.3019,-0.083814
84204,11.340998,1063,1538.31,-0.308982
84304,11.342185,593,648.0701,-0.084976
84404,11.34337,538,577.9946,-0.069195
84504,11.344554,1273,1904.2843,-0.331507
84604,11.345737,575,636.188,-0.096179
84704,11.346918,530,579.6863,-0.085712
84804,11.348098,1089,1547.3333,-0.296208
84904,11.349276,527,580.8136,-0.092652
85004,11.350454,528,581.377,-0.091811
85104,11.351629,1069,1551.8411,-0.311141
85204,11.352804,684,769.9152,-0.11159
85304,11.353977,527,583.0669,-0.096159
85404,11.355148,1189,1746.7412,-0.319304
85504,11.356318,550,584.1929,-0.05853
85604,11.357487,548,584.7557,-0.062857
85704,11.358655,1078,1560.8493,-0.30935
85804,11.359821,569,622.2653,-0.085599
85904,11.360986,717,795.1646,-0.0983
86004,11.362149,1058,1565.3497,-0.324113
86104,11.363311,540,587.5685,-0.080958
86204,11.364472,550,588.1307,-0.064834
86304,11.365631,1142,1569.8476,-0.272541
86404,11.366789,536,589.2549,-0.090377
86504,11.367946,590,661.9717,-0.108723
86604,11.369101,1285,1943.1891,-0.338716
86704,11.370255,549,590.9404,-0.070972
86804,11.371408,535,591.502,-0.095523
86904,11.372559,1156,1690.696,-0.316258
87004,11.373709,546,592.6249,-0.078675
87104,11.374858,536,593.1862,-0.096405
87204,11.376005,1212,1739.3441,-0.303186
87304,11.377152,663,733.5466,-0.096172
87404,11.378296,532,594.8696,-0.105686
87504,11.37944,1093,1587.8147,-0.311633
87604,11.380582,616,668.9016,-0.079087
87704,11.381723,585,633.5989,-0.076703
87804,11.382862,1066,1592.3004,-0.330528
87904,11.384001,587,597.6732,-0.017858
88004,11.385138,651,738.3912,-0.118353
88104,11.386273,1108,1596.7838,-0.306105
88204,11.387408,539,599.3541,-0.100699
88304,11.388541,551,599.9142,-0.081535
88404,11.389672,1105,1601.2647,-0.30992
88504,11.390803,636,660.2588,-0.036741
88604,11.391932,580,644.2167,-0.099682
88704,11.39306,1445,2224.4062,-0.350388
88804,11.394187,549,602.7133,-0.089119
88904,11.395312,572,603.2728,-0.051839
89004,11.396437,1107,1610.2194,-0.312516
89104,11.39756,557,604.3916,-0.078412
89204,11.398681,545,604.9508,-0.0991
89304,11.399802,1098,1614.6932,-0.319995
89404,11.400921,687,748.0623,-0.081627
89504,11.402039,549,606.6279,-0.094997
89604,11.403155,1186,1719.7174,-0.310352
89704,11.404271,544,607.7455,-0.104888
89804,11.405385,678,749.9945,-0.095993
89904,11.406498,1123,1623.6337,-0.308342
90004,11.407609,542,609.4211,-0.110631
90104,11.40872,664,752.8889,-0.118064
90204,11.409829,1114,1628.1005,-0.315767
90304,11.410937,603,654.3918,-0.078534
90404,11.412044,547,611.6539,-0.105703
90504,11.413149,1109,1632.5649,-0.320701
90604,11.414254,570,612.7697,-0.069797
90704,11.415357,549,613.3275,-0.104883
90804,11.416459,1411,2020.5591,-0.301678
90904,11.417559,620,689.6102,-0.100941
91004,11.418659,554,615.0002,-0.099187
91104,11.419757,1248,1803.2354,-0.307911
91204,11.420854,568,616.1148,-0.078094
91304,11.42195,560,616.672,-0.0919
91404,11.423045,1121,1645.9443,-0.318932
91504,11.424138,736,809.8786,-0.091222
91604,11.42523,559,618.343,-0.095971
91704,11.426321,1124,1650.3996,-0.318953
91804,11.427411,594,619.4565,-0.041095
91904,11.4285,567,620.0132,-0.085503
92004,11.429587,1381,1988.8869,-0.305642
92104,11.430674,602,621.1261,-0.030793
92204,11.431759,692,767.3338,-0.098176
92304,11.432843,1130,1659.3032,-0.318991
92404,11.433926,602,684.1637,-0.120094
92504,11.435007,580,623.3509,-0.069545
92604,11.436088,1128,1663.7516,-0.322014
92704,11.437167,568,624.4627,-0.090418
92804,11.438245,576,625.0185,-0.078427
92904,11.439322,1381,2059.0326,-0.329297
93004,11.440398,564,626.1297,-0.099228
93104,11.441472,658,703.3504,-0.064478
93204,11.442546,1157,1672.6416,-0.30828
93304,11.443618,601,627.7959,-0.042683
93404,11.444689,593,667.3727,-0.111441
93504,11.445759,1136,1677.0833,-0.322634
93604,11.446828,700,776.935,-0.099024
93704,11.447896,667,741.1314,-0.100025
93804,11.448963,1162,1681.5228,-0.30896
93904,11.450028,584,631.1258,-0.074669
94004,11.451093,575,631.6804,-0.08973
94104,11.452156,1146,1685.96,-0.320269
94204,11.453218,659,710.2014,-0.072094
94304,11.454279,701,781.7273,-0.103268
94404,11.455339,1153,1690.395,-0.317911
94504,11.456397,573,634.4523,-0.096859
94604,11.457455,572,635.0064,-0.099222
94704,11.458512,1185,1694.8278,-0.300814
94804,11.459567,551,636.1144,-0.133804
94904,11.460621,576,636.6682,-0.09529
95004,11.461674,1601,2304.0408,-0.305134
95104,11.462726,591,637.7756,-0.073342
95204,11.463777,587,638.3291,-0.080412
95304,11.464827,1354,2030.8515,-0.333285
95404,11.465876,665,684.7398,-0.028828
95504,11.466923,594,639.9893,-0.071859
95604,11.46797,1228,1708.1132,-0.281078
95704,11.469015,703,791.2951,-0.111583
95804,11.47006,619,641.6486,-0.035297
95904,11.471103,1229,1712.5373,-0.282351
96004,11.472145,582,642.7543,-0.094522
96104,11.473186,631,643.3071,-0.019131
96204,11.474226,1179,1716.9593,-0.313321
96304,11.475265,635,707.9113,-0.102995
96404,11.476303,778,893.4577,-0.129226
96504,11.47734,1212,1721.3791,-0.295913
96604,11.478375,595,646.0695,-0.079046
96704,11.47941,584,646.6217,-0.096844
96804,11.480444,1191,1725.7967,-0.309884
96904,11.481476,604,647.7258,-0.067507
97004,11.482507,573,648.2777,-0.11612
97104,11.483538,1494,2286.8812,-0.346709
97204,11.484567,617,689.709,-0.10542
97304,11.485595,602,649.933,-0.073751
97404,11.486623,1175,1734.6257,-0.32262
97504,11.487649,644,730.6803,-0.11863
97604,11.488674,641,715.7936,-0.10449
97704,11.489698,1276,1739.037,-0.266261
97804,11.490721,732,805.6061,-0.091367
97904,11.491743,626,653.2412,-0.041702
98004,11.492764,1181,1743.4461,-0.322606
98104,11.493783,580,654.3433,-0.113615
98204,11.494802,599,654.8942,-0.085348
98304,11.49582,1185,1747.8532,-0.322025
98404,11.496837,614,655.9957,-0.064018
98504,11.497852,701,810.3657,-0.134958
98604,11.498867,1355,1966.6198,-0.311001
98704,11.499881,628,657.6473,-0.045081
98804,11.500893,660,704.8307,-0.063605
98904,11.501905,1325,1929.7587,-0.313386
99004,11.502916,632,659.2981,-0.041405
99104,11.503925,627,700.8259,-0.105341
99204,11.504934,1439,2173.6536,-0.337981
99304,11.505941,605,660.9482,-0.084648
99404,11.506948,580,661.498,-0.123202
99504,11.507953,1209,1765.4607,-0.315193
99604,11.508958,637,662.5974,-0.038632
99704,11.509961,693,744.2727,-0.06889
99804,11.510964,1216,1769.8574,-0.312939
99904,11.511965,731,819.8693,-0.108394
